ts,open,high,low,close
1786255200000,64774.9,64835,64769,64819.2,66391.55,663.9155,43026719.65754,1
1786258800000,64819.1,64819.2,64788.6,64790.4,44790.25,447.9025,29028070.04394,1
1786262400000,64790.3,64900.1,64752.3,64787.2,117468.12,1174.6812,76164746.43349,1
1786266000000,64787.3,64852.5,64774.2,64852.4,38423.58,384.2358,24897659.34294,1
1786269600000,64852.4,64956.8,64852.4,64923.9,123873.86,1238.7386,80416448.29347,1
1786273200000,64923.8,64968.3,64912.5,64912.8,56646.69,566.4669,36789971.93597,1
1786276800000,64912.8,64924.7,64884.8,64924.7,37885.44,378.8544,24588653.61866,1
1786280400000,64924.6,65239.4,64924.6,65188.7,314140.66,3141.4066,204583070.19658,1
1786284000000,65188.8,65279.9,65117.2,65239.5,147458.41,1474.5841,96136758.39867,1
1786287600000,65239.6,65244.2,65171.2,65200,104364.19,1043.6419,68050108.0117,1
1786291200000,65200,65235,65150,65208.2,87343.51,873.4351,56950140.34248,1
1786294800000,65208.2,65214.9,65170,65174.3,45373.64,453.7364,29582366.54896,1
1786298400000,65174.4,65197.9,65161.5,65170.1,20222.69,202.2269,13181452.95302,1
1786302000000,65170.1,65189,65155,65159.5,24108.21,241.0821,15711189.16308,1
1786305600000,65159.5,65164.1,65043.2,65114.2,75860.33,758.6033,49385549.82053,1
1786309200000,65114.1,65234.6,65095.9,65173.5,79654.01,796.5401,51912723.81816,1
1786312800000,65173.5,65500,64937.3,65043.3,534862.25,5348.6225,349093625.55383,1
1786316400000,65043.3,65096.1,64805.6,64870.1,272172.46,2721.7246,176685583.65497,1
1786320000000,64870.1,65306.6,64794.4,64948.7,408170.64,4081.7064,265263478.66423,1
1786323600000,64948.8,65368.9,64865,65172.1,239965.9,2399.659,156272499.21969,1
1786327200000,65172.2,65199,64878.7,65077.6,200576.63,2005.7663,130430672.27253,1
1786330800000,65077.5,65146,64880.2,64950.5,131887.62,1318.8762,85732375.14055,1
1786334400000,64950.5,65087.4,64904.4,64980,117197.93,1171.9793,76161921.2126,1
1786338000000,64979.9,65135.9,64951.8,65109.9,85752.07,857.5207,55774359.49347,1
1786341600000,65109.8,65303.4,65100,65269.6,174847.49,1748.4749,113993618.47004,1
1786345200000,65269.6,65337.9,65171.3,65179.1,144875.54,1448.7554,94545630.64063,1
1786348800000,65179.1,65300,65157.3,65212.2,83150.74,831.5074,54237175.47425,1
1786352400000,65212.2,65212.3,64930,64943.2,198041.34,1980.4134,128783298.30657,1
1786356000000,64943.1,65057,64943.1,64991.3,113706.19,1137.0619,73919469.9499,1
1786359600000,64991.2,65112.4,64950.1,65100.3,90251.7,902.517,58691394.06459,1
1786363200000,65100.4,65217,64816.5,64839.7,302392.29,3023.9229,196500541.11212,1
